P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
,,,,,,,,,,
3.27,26.07,17.70,2.80,0.14,0.95,3.83%,13.40%,11.50%,2.00%,71.60%
19.73,-,-,-,88.25,-1.56,6.63%,-115.00%,7.40%,-365.10%,0.60%
0.10,2.58,-,-,0.00,0.31,-,4.10%,-,-37.80%,34.13%
,,,,,,,,,,
4.30,-,-,-,0.45,-0.07,-,-3.70%,-0.20%,114.10%,7.40%
0.56,-,-,-,1.05,-6.61,-,-141.20%,-69.40%,-596.50%,0.10%
-,-,-,-,-,-2.19,11.37%,-,-,-,0.27%
-,-,-,-,-,-0.01,-,-,-,-,-
1.53,7.02,-,-,0.00,4.79,2.97%,24.10%,37.10%,32.90%,2.60%
1.53,-,-,-,3.82,-2.35,-,-99.40%,-14.90%,-460.00%,6.50%
-,10.64,6.72,-,-,3.39,-,-,23.30%,-15.90%,1.00%
3.33,-,-,-,0.00,-0.50,-,-28.60%,-,-13.20%,39.46%
0.40,-,-,-,-,-1.03,-,-,-,-,11.51%
,,,,,,,,,,
,,,,,,,,,,
1.56,17.39,15.70,1.09,1.67,2.26,3.66%,9.10%,4.60%,37.30%,0.20%
1.20,16.79,-,1.12,0.01,0.75,7.20%,6.90%,5.80%,-20.50%,58.00%
,,,,,,,,,,
23.53,26.84,23.50,1.96,0.81,7.83,2.38%,104.50%,47.10%,13.60%,0.10%
1.44,-,-,-,0.00,-0.90,-,-51.30%,-60.30%,74.90%,0.80%
-,-,-,-,-,-,2.10%,-,-,-,-
-,15.21,22.21,1.19,-,0.49,-,-9.70%,-65.60%,805.10%,12.70%
,,,,,,,,,,
-,-,-,-,-,-,6.15%,-,-,-,-
1.19,14.28,11.07,0.95,0.21,0.65,-,7.80%,6.30%,132.50%,30.90%
2.71,17.85,13.47,0.80,3.58,4.42,0.51%,16.50%,15.60%,93.40%,2.00%
,,,,,,,,,,
,,,,,,,,,,
0.72,6.45,6.80,0.92,0.06,1.19,6.79%,11.60%,22.50%,46.20%,0.50%
5.91,57.19,63.29,2.29,0.06,0.25,-,11.40%,3.80%,-,1.37%
16.57,148.51,58.01,2970.26,0.00,0.49,-,11.90%,10.70%,133.60%,1.30%
1.98,-,-,-,0.00,-0.77,-,-,-,7.20%,25.90%
-,-,-,-,-,-,6.32%,-,-,-,-
-,-,8.10,-,-,-0.36,16.04%,3.60%,12.50%,-139.80%,0.50%
0.83,8.02,9.47,-,0.12,2.74,1.46%,10.80%,23.80%,38.90%,1.20%
-,-,-,-,-,-0.81,-,-,-208.10%,-,37.70%
,,,,,,,,,,
1.07,-,-,-,0.00,-1.26,-,-42.30%,-44.50%,-10.40%,15.32%
1.49,-,-,-,0.00,-0.82,-,-39.70%,-47.40%,-179.80%,1.20%
-,-,-,-,-,-,0.85%,-,-,-,-
0.21,-,-,-,1.29,-2.28,-,-153.10%,-60.30%,72.70%,0.10%
11.62,141.33,15.01,-,0.16,0.12,-,-,5.90%,-71.90%,25.69%
3.68,26.23,19.22,2.62,0.54,3.00,-,14.90%,17.50%,-51.30%,1.10%
9.98,81.53,46.03,23.29,0.72,2.04,-,13.10%,8.80%,-3.50%,0.60%
1.93,-,-,-,0.00,-2.56,-,-63.50%,-,0.10%,21.06%
4.65,21.73,20.70,2.61,0.02,13.27,-,23.10%,22.30%,-4.30%,0.20%
,,,,,,,,,,
10.10,-,253.72,-,0.00,-1.26,-,-31.10%,-38.50%,39.60%,11.20%
,,,,,,,,,,
4.19,-,14.57,-,0.00,-0.81,-,-105.70%,-150.40%,60.70%,11.10%
0.70,12.09,-,-,0.00,0.21,3.46%,5.70%,23.90%,-95.00%,2.20%
1.63,36.06,11.36,1.80,0.11,0.32,2.46%,4.70%,10.40%,381.00%,4.30%
0.75,8.33,-,-,0.15,0.27,-,-3.20%,6.90%,-,14.30%
3.05,-,-,-,1.72,-2.77,-,-222.90%,-94.60%,53.60%,0.90%
,,,,,,,,,,
6.85,-,-,-,0.59,-0.75,-,-137.20%,-,37.30%,15.90%
3.41,22.95,22.11,1.53,2.56,1.85,-,16.60%,11.60%,-66.50%,3.60%
0.68,-,-,-,0.00,-0.69,-,-70.90%,-86.30%,11.60%,21.20%
8.05,-,499.09,-,0.00,-0.36,-,-9.30%,-9.20%,-4.80%,0.78%
2.19,22.66,18.76,2.24,0.50,3.04,-,10.10%,8.30%,8.10%,0.60%
-,-,-,-,-,-0.05,-,48.00%,128.30%,-314.70%,-
3.32,235.00,12.19,-,5.54,0.01,-,16.90%,31.00%,-222.20%,1.90%
0.31,5.48,5.50,-,0.29,2.22,1.97%,5.90%,18.60%,-129.40%,6.00%
,,,,,,,,,,
2.29,-,-,-,0.25,-0.77,-,-51.90%,-42.40%,-23.80%,21.20%
1.63,14.67,-,-,0.00,0.21,-,12.50%,10.30%,492.70%,1.40%
1.15,3.17,-,0.29,0.00,2.58,-,50.50%,24.30%,69.20%,0.10%
,,,,,,,,,,
1.92,-,-,-,0.12,-0.67,-,-,-378.00%,-,4.50%
,,,,,,,,,,
2.28,-,-,-,0.00,-5.65,-,-50.80%,-50.20%,-28.50%,9.52%
14.12,43.45,-,-,0.00,2.37,1.24%,34.50%,33.40%,5.30%,1.90%
8.52,-,-,-,-,-1.62,-,-,-,-,10.18%
,,,,,,,,,,
0.70,5.87,5.50,-,0.10,1.78,2.29%,12.60%,24.40%,16.50%,2.40%
2.02,-,-,-,0.00,-0.73,-,-37.60%,-42.00%,17.30%,2.50%
0.96,-,-,-,0.40,-1.07,-,-170.60%,-182.10%,29.10%,0.50%
1.72,-,-,-,0.00,-2.06,-,-46.00%,-,10.00%,6.12%
-,-,-,-,-,-,1.38%,-,-,-,-
0.47,-,-,-,0.70,-3.63,-,-129.00%,-158.20%,18.30%,16.10%
-,-,16.08,-,-,-5.13,-,55.60%,-22.80%,-,2.60%
-,-,-,-,-,-,2.53%,-,-,-,-
,,,,,,,,,,
16.22,-,-,-,0.48,-3.28,-,-,-44.60%,5.90%,1.42%
1.09,-,19.48,-,0.30,-0.69,-,-8.70%,6.00%,-204.50%,4.60%
0.30,-,-,-,0.64,-1.23,-,-16.30%,-3.80%,-92.40%,0.10%
3.35,-,-,-,0.00,-1.73,-,-195.80%,-,20.60%,2.98%
1.23,-,-,-,0.50,-3.52,-,-106.30%,-96.60%,-132.50%,5.60%
5.66,72.36,52.10,-,0.00,0.07,-,9.90%,18.50%,-72.30%,3.00%
2.56,-,11.65,-,0.67,-0.05,-,-0.60%,-1.60%,-,3.80%
0.68,-,-,-,0.00,-1.03,-,-12.80%,-14.10%,30.20%,36.87%
-,-,-,-,-,-0.95,-,-,-275.00%,4.80%,9.30%
0.98,9.49,10.23,0.95,0.00,4.56,3.46%,10.70%,22.00%,0.00%,1.90%
1.10,5.71,-,-,0.07,2.56,3.28%,18.90%,33.40%,23.50%,2.40%
2.43,38.83,66.05,-,-,1.82,-,-,-,-,2.49%
-,-,-,-,-,-1.39,-,-,-76.60%,-56.30%,1.30%
2.78,16.59,18.06,1.66,0.00,1.61,2.69%,18.10%,26.70%,-5.90%,1.10%
1.33,95.08,-,-,0.00,0.06,14.26%,1.30%,-1.10%,341.10%,13.20%
,,,,,,,,,,
0.29,-,-,-,0.10,-0.56,-,-17.80%,-18.70%,-612.70%,2.99%
-,12.50,11.43,1.95,-,0.29,2.69%,-32.90%,26.90%,-23.10%,0.30%
0.11,-,-,-,0.03,-15.83,-,-78.60%,-102.20%,94.40%,0.40%
0.74,6.43,6.76,0.80,0.35,2.00,4.35%,12.00%,16.00%,473.40%,0.30%
-,-,-,-,-,-0.33,8.30%,-,-,-,0.16%
-,41.09,-,-,-,0.25,-,-,-,35.30%,-
1.17,3.93,22.15,-,0.01,26.57,-,33.00%,45.00%,-86.50%,65.11%
0.37,-,-,-,0.00,-0.69,-,-22.20%,-20.30%,-47.20%,0.40%
-,-,-,-,-,-,2.22%,-,-,-,-
19.18,-,-,-,0.00,-3.13,-,-220.20%,-,17.60%,2.70%
0.85,-,-,-,0.00,-0.01,-,-0.10%,-,213.00%,11.49%
0.62,-,-,-,0.00,-0.57,-,-19.50%,-,-508.10%,10.85%
0.59,7.77,12.68,1.11,0.00,1.32,5.05%,7.60%,28.40%,-35.10%,2.10%
-,-,-,-,-,-,8.62%,-,-,-,-
2.56,-,-,-,-,-0.50,-,-,-,-,45.44%
1.91,-,-,-,0.04,-0.67,-,-46.50%,-44.30%,55.80%,9.40%
0.78,7.94,-,-,0.29,2.02,3.48%,10.30%,32.20%,57.50%,2.00%
0.56,-,-,-,0.00,-1.31,-,-16.90%,-,15.90%,0.90%
-,-,-,-,-,-,-,-,-,-,-
0.68,8.36,8.29,-,0.22,2.06,-,8.50%,24.70%,-30.60%,8.60%
-,-,-,-,-,-0.30,-,-272.80%,-,-17.30%,25.14%
0.24,-,-,-,0.24,-0.20,-,-7.10%,-2.50%,-270.70%,28.11%
2.37,-,-,-,0.00,-2.34,-,-19.40%,-11.40%,-363.20%,0.87%
-,-,-,-,-,-,3.32%,-,-,-,-
0.34,-,-,-,0.00,-1.17,-,-11.90%,-,-66.90%,16.90%
,,,,,,,,,,
3.47,-,-,-,0.00,-2.32,-,-43.10%,-,-49.20%,9.50%
,,,,,,,,,,
-,39.46,-,-,-,0.26,-,-,-,-94.20%,-
1.58,7.79,-,-,0.01,0.57,-,22.00%,-,35.90%,5.80%
1.05,6.12,-,-,0.02,4.54,4.76%,18.20%,35.30%,16.90%,5.60%
0.74,-,-,-,0.00,-10.71,-,-109.20%,-,56.70%,12.59%
1.35,-,-,-,0.00,-1.44,-,-256.00%,-,60.80%,7.93%
2.64,7.95,13.62,-,0.10,0.47,-,40.70%,29.70%,331.70%,1.30%
0.56,7.52,3.83,-,0.71,0.94,1.42%,7.60%,11.60%,75.10%,43.04%
0.11,0.79,1.26,-,0.26,1.18,-,14.40%,11.00%,-131.10%,4.16%
,,,,,,,,,,
2.65,-,-,-,1.78,-9.43,-,-472.40%,1593.10%,537.30%,55.40%
4.19,3.84,1.43,-,11.60,2.12,-,-92.30%,10.70%,133.10%,0.10%
,,,,,,,,,,
-,-,-,-,-,-,5.17%,-,-,-,-
3.05,-,-,-,1.00,-2.68,-,-43.40%,-23.40%,29.30%,3.23%
5.88,-,-,-,0.00,-0.08,-,-0.50%,-,-,56.30%
,,,,,,,,,,
0.50,4.80,5.94,0.48,0.07,2.86,4.95%,10.70%,19.50%,-20.70%,0.40%
,,,,,,,,,,
0.99,-,-,-,0.00,-2.53,-,-76.00%,-46.90%,-280.60%,86.60%
1.32,12.20,11.00,-,1.47,0.58,-,11.60%,6.40%,717.10%,5.60%
,,,,,,,,,,
0.46,3.01,4.03,0.20,0.00,2.11,5.03%,16.50%,21.80%,70.40%,21.05%
0.30,-,-,-,0.16,-9.44,-,-,-151.10%,92.10%,1.45%
7.39,-,-,-,0.00,-1.49,-,-50.00%,-21.90%,10.30%,2.00%
0.86,16.19,7.15,-,0.27,1.14,3.68%,9.10%,28.00%,20.90%,4.70%
2.35,21.24,13.03,1.27,0.47,10.42,1.52%,10.80%,6.70%,99.80%,0.30%
,,,,,,,,,,
0.49,-,-,-,0.02,-1.51,-,-42.30%,-,18.50%,0.30%
-,-,-,-,-,-,0.41%,-,-,-,-
1.59,-,21.82,-,0.24,-0.55,-,-7.60%,-6.30%,110.70%,4.60%
1.67,57.56,18.72,3.84,0.72,0.79,-,2.90%,3.40%,295.00%,0.10%
3.96,22.58,20.28,1.68,0.25,4.14,0.96%,18.60%,16.40%,26.00%,0.40%
1.34,53.98,-,-,0.00,0.20,-,2.50%,-,-85.30%,-
-,-,-,-,-,-63.23,-,-,-,76.70%,0.71%
0.93,-,-,-,-,-3.22,10.49%,-,-,-,10.97%
,,,,,,,,,,
1.00,6.15,6.10,-,0.04,3.70,2.11%,17.00%,29.30%,12.70%,1.70%
3.15,15.06,-,-,1.16,0.25,-,31.10%,11.40%,334.20%,-
0.42,-,3.04,-,6.44,-6.74,-,-41.00%,-2.20%,-319.30%,5.90%
-,-,17.93,-,-,-1.05,-,-,-17.20%,158.10%,0.90%
5.58,-,-,-,0.00,-2.62,-,-25.00%,-19.80%,-14.90%,4.72%
1.94,-,-,-,0.00,-3.18,-,-56.20%,-62.60%,3.50%,0.30%
,,,,,,,,,,
1.46,12.65,-,-,0.00,0.32,4.94%,11.80%,22.50%,-63.20%,39.03%
-,-,-,-,-,-,1.73%,-,-,-,-
5.08,-,-,-,0.00,-1.32,-,-73.40%,-,-5.00%,0.20%
,,,,,,,,,,
-,-,-,-,-,-,0.29%,-,-,-,-
,,,,,,,,,,
3.88,24.87,17.47,0.99,0.14,1.78,-,17.90%,13.00%,7.40%,0.50%
-,-,-,-,-,-1.00,-,-,-,-,28.28%
6.69,-,11.94,-,4.96,-4.89,-,-812.50%,-37.60%,32.00%,0.60%
5.16,15.47,-,-,-,0.32,-,-,-,-31.50%,-
2.21,-,-,-,0.02,-0.64,-,-28.80%,-,21.80%,13.10%
4.86,-,-,-,0.00,-2.52,-,-35.40%,-35.30%,-26.10%,0.20%
-,-,-,-,-,-1.20,-,330.80%,118.10%,89.80%,0.80%
-,-,-,-,-,-,5.06%,-,-,-,-
3.61,-,-,-,0.04,-1.64,-,-93.00%,-91.60%,-56.30%,24.34%
0.49,5.11,6.47,0.64,0.15,1.64,6.70%,9.80%,21.00%,-35.10%,4.83%
2.00,-,-,-,0.57,-0.75,-,-50.60%,-,70.40%,2.10%
1.03,-,-,-,0.00,-0.17,-,-4.90%,-9.50%,131.60%,19.54%
1.34,41.00,22.15,-,0.37,0.46,1.06%,3.30%,6.70%,-37.50%,0.10%
-,-,29.93,-,-,-0.28,-,28.70%,-50.40%,64.00%,2.20%
22.47,-,-,-,1.15,-4.13,-,-,-262.20%,74.90%,-
5.14,22.90,0.77,20.63,0.07,0.97,10.76%,24.70%,21.00%,50.90%,74.73%
-,-,-,-,-,-,3.78%,-,-,-,-
,,,,,,,,,,
0.87,-,-,-,0.00,-1.70,-,-41.50%,-,40.50%,1.60%
1.33,58.59,-,-,0.00,0.18,-,2.30%,-,-78.00%,9.90%
,,,,,,,,,,
0.70,-,8.42,-,0.00,-0.30,3.59%,-1.80%,20.00%,-495.30%,0.20%
0.52,-,-,-,0.30,-0.41,-,-,-36.50%,-297.60%,58.97%
,,,,,,,,,,
1.47,7.55,10.47,-,0.20,9.93,-,21.00%,18.70%,-27.00%,0.20%
1.32,2.68,2.84,0.09,0.00,13.81,0.81%,61.10%,61.90%,660.10%,0.64%
,,,,,,,,,,
0.76,-,-,-,0.00,-2.01,-,-30.70%,-33.30%,-10.70%,1.70%
,,,,,,,,,,
5.47,-,-,-,0.00,-2.10,-,-76.80%,-85.00%,-53.30%,2.70%
-,-,-,-,-,-1.35,-,615.10%,-,10.20%,1.50%
-,-,-,-,-,-0.69,-,26.10%,-204.00%,-131.00%,7.70%
0.47,-,-,-,0.00,-0.95,-,-,-100.10%,-,24.30%
1.81,73.68,20.47,-,-,0.25,-,-,-,462.60%,1.40%
3.87,-,-,-,7.07,-0.63,-,-,-66.10%,-,22.95%
-,-,-,-,-,-,3.27%,-,-,-,-
2.71,20.67,17.23,2.30,0.30,4.63,0.50%,-,12.00%,-17.40%,8.20%
-,-,-,-,-,-3.19,-,-,38.40%,-,27.55%
-,-,-,-,-,-,18.64%,-,-,-,-
0.53,-,-,-,0.00,-0.78,-,-53.00%,-,58.20%,0.90%
1.07,-,-,-,0.00,-0.75,-,-19.40%,-26.80%,68.50%,4.80%
1.47,-,-,-,0.35,-2.49,-,-70.80%,-57.30%,44.20%,12.97%
1.59,-,-,-,0.00,-2.27,-,-67.70%,-111.80%,67.20%,31.79%
3.05,-,-,-,0.13,-1.31,-,-72.00%,-45.70%,-168.30%,43.93%
-,-,26.65,-,-,-5.68,-,253.80%,-37.30%,-10.90%,0.60%
-,20.08,-,-,-,0.52,-,-,-,-,-
1.25,-,-,-,0.74,-0.32,-,-45.20%,-6.20%,27.00%,1.80%
2.36,8.38,4.46,0.14,4.63,5.73,-,34.20%,5.40%,86.00%,0.30%
,,,,,,,,,,
2.71,-,-,-,0.00,-4.85,-,-52.80%,-43.90%,-21.00%,0.31%
1.98,37.00,87.53,21.89,0.53,0.90,-,6.00%,3.60%,-34.90%,1.60%
3.73,-,14.00,-,0.00,-0.36,-,-137.50%,-146.60%,42.00%,75.16%
0.89,18.98,-,-,0.00,0.11,14.63%,4.90%,5.00%,-77.90%,39.88%
0.69,-,-,-,0.00,-0.10,-,-,-52.30%,211.10%,1.80%
0.23,-,-,-,0.00,-88.15,-,-114.60%,-138.50%,86.40%,0.47%
,,,,,,,,,,
6.24,41.66,28.93,13.89,0.00,4.76,1.71%,16.10%,10.50%,639.60%,1.40%
1.20,6.11,-,-,0.00,14.44,-,29.60%,32.60%,-86.90%,27.10%
2.36,-,-,-,4.06,-0.63,-,-92.30%,-,64.10%,90.80%
1.52,11.72,7.77,0.59,1.10,2.77,-,14.10%,10.30%,46.20%,0.40%
2.34,22.64,19.94,5.00,0.13,7.87,2.47%,10.20%,7.30%,24.30%,0.20%
67.17,-,-,-,13.46,-3.94,-,-,-49.60%,-40.10%,21.62%
1.84,22.96,15.86,0.92,0.12,3.03,-,3.30%,-5.00%,415.70%,4.40%
1.92,-,-,-,0.01,-1.01,-,-,-,-,27.88%
5.14,-,-,-,-,-3.44,-,-,-,-,0.10%
,,,,,,,,,,
0.61,-,2.10,-,-,-0.37,-,-,-1.10%,-,-
2.08,-,-,-,0.01,-0.26,-,-24.30%,-18.90%,-188.50%,6.70%
0.77,10.38,-,-,0.72,0.06,-,11.60%,5.00%,-57.00%,75.10%
-,-,-,-,-,-,2.24%,-,-,-,-
3.21,-,-,-,0.03,-0.27,-,-,-,-,61.21%
1.02,14.87,8.47,-,-,1.27,10.17%,-,-,31.80%,1.38%
0.64,9.14,9.07,1.83,0.12,1.85,4.73%,7.30%,17.90%,-37.90%,0.70%
5.35,110.98,-,-,0.01,0.09,-,2.80%,-,-121.30%,0.36%
,,,,,,,,,,
3.32,-,27.63,-,0.27,-0.10,-,-1.30%,2.20%,236.30%,85.40%
,,,,,,,,,,
-,-,-,-,-,-,1.91%,-,-,-,-
0.39,-,-,-,0.00,-0.82,-,-75.10%,-,0.90%,2.70%
0.62,2.18,-,-,0.86,1.87,-,42.10%,13.10%,150.00%,53.90%
-,-,-,-,-,-,1.27%,-,-,-,-
0.74,-,13.09,-,0.38,-1.02,3.39%,-6.10%,-5.00%,73.60%,2.30%
0.51,-,16.92,-,0.00,-0.73,-,-,-10.80%,-358.30%,1.60%
2.20,12.76,14.25,1.28,0.00,4.06,3.55%,18.60%,30.30%,2.50%,1.00%
0.97,-,29.40,-,0.00,-2.06,-,-12.70%,-9.60%,-111.80%,0.50%
5.61,36.62,31.59,3.01,0.00,4.19,0.91%,16.10%,16.40%,-20.40%,1.00%
0.36,-,-,-,0.00,-0.05,-,-0.60%,-,-7.50%,-
13.26,12.45,8.07,-,6.97,0.24,-,79.20%,28.00%,-93.20%,1.38%
1.67,-,-,-,0.22,-0.91,-,-62.10%,-52.80%,7.60%,1.50%
7.74,-,199.64,-,0.00,-0.53,-,-6.80%,-7.50%,34.00%,1.40%
-,-,-,-,-,-1.37,-,-,-107.20%,56.10%,0.20%
-,-,-,-,-,-,1.53%,-,-,-,-
0.61,-,-,-,0.00,-0.56,-,-63.80%,-6.40%,-,11.90%
0.04,-,-,-,0.00,-44.41,-,-77.90%,-,-77.00%,2.90%
-,-,-,-,-,-1.23,-,964.30%,546.00%,-116.30%,9.47%
-,-,-,-,-,-,1.65%,-,-,-,-
5.00,-,-,-,0.00,-2.32,-,-72.00%,-,19.70%,-
4.32,-,-,-,0.35,-3.36,-,-75.20%,-52.70%,12.20%,0.10%
1.46,34.78,-,-,7.93,0.07,-,-,-0.60%,427.70%,63.87%
1.35,-,69.04,-,0.00,-1.86,-,-10.50%,-10.60%,-262.60%,0.09%
5.26,-,-,-,-,-1.14,-,-,-,-,4.47%
1.35,-,-,-,0.00,-3.97,-,-20.20%,-22.80%,15.60%,1.35%
2.40,17.21,10.53,2.00,0.26,0.72,4.73%,-,12.60%,51.30%,58.10%
,,,,,,,,,,
945.05,-,-,-,-,-0.00,-,-,-,-,21.41%
2.40,-,-,-,0.00,-0.52,-,-16.50%,-,17.20%,3.80%
3.74,-,20.69,-,0.67,-0.74,-,-165.40%,-125.00%,288.10%,62.00%
,,,,,,,,,,
,,,,,,,,,,
-,-,-,-,-,-,3.07%,-,-,-,-
1.12,-,-,-,0.00,-2.19,-,-41.00%,-,9.60%,14.81%
5.40,-,-,-,11.63,-0.83,-,-169.80%,-24.20%,14.20%,22.32%
0.66,8.10,11.11,1.01,1.41,1.28,5.02%,8.40%,17.10%,-13.10%,1.70%
-,-,-,-,-,-,0.51%,-,-,-,-
1.12,-,-,-,0.00,-3.00,-,-117.10%,-,13.90%,15.50%
66.35,210.63,-,-,1.06,0.13,-,3.20%,-,-98.90%,-
-,-,-,-,-,-,6.84%,-,-,-,-
1.24,28.91,10.54,96.38,0.77,1.44,-,4.30%,5.70%,-257.90%,0.20%
1.07,-,-,-,0.00,-1.24,-,-20.70%,-,-44.40%,0.20%
,,,,,,,,,,
0.75,13.59,8.18,-,0.00,0.41,-,3.80%,-,129.80%,23.70%
-,-,-,-,-,-,1.78%,-,-,-,-
0.39,-,-,-,0.00,-0.42,-,-6.30%,0.20%,-806.40%,0.30%
6.08,26.86,19.97,1.53,-,4.64,-,-,-,-8.40%,0.01%
2.50,-,72.26,-,0.66,-0.14,-,0.70%,10.30%,-168.80%,0.80%
2.23,-,-,-,2.47,-1.54,-,-,-3.10%,-887.60%,0.26%
,,,,,,,,,,
0.85,14.06,6.90,0.70,0.33,1.18,-,6.20%,4.00%,97.50%,0.20%
-,-,-,-,-,-3.91,-,552.10%,-,29.50%,1.50%
3.18,-,14.71,-,0.59,-0.05,-,-2.70%,-6.10%,108.70%,6.20%
0.37,-,-,-,0.41,-0.48,-,-36.80%,-18.40%,-142.80%,4.00%
1.23,-,-,-,0.92,-0.24,1.48%,-,0.50%,-3.70%,37.60%
2.81,-,-,-,-,-1.33,-,-,-,-,-
4.80,-,-,-,0.00,-3.51,-,-64.70%,-47.50%,-16.00%,1.10%
-,-,-,-,-,-0.68,-,474.80%,-1.20%,40.90%,0.10%
15.24,-,-,-,0.00,-1.49,-,-275.10%,-,-377.40%,5.40%
1.52,13.96,20.33,0.83,0.50,2.23,-,11.30%,9.40%,-100.10%,0.10%
,,,,,,,,,,
2.64,-,75.09,-,0.40,-5.17,-,-15.00%,-10.80%,38.70%,0.20%
2.42,-,-,-,0.00,-0.67,-,-62.70%,-,-85.30%,13.60%
2.26,353.33,68.14,-,0.32,0.03,-,0.60%,-1.20%,2676.90%,3.95%
0.41,-,-,-,0.76,-1.72,12.50%,-47.30%,-33.40%,45.70%,0.20%
5.80,25.91,20.16,3.16,0.03,12.55,-,24.50%,23.60%,-9.00%,0.10%
,,,,,,,,,,
2.18,-,-,-,0.00,-0.45,-,-41.00%,-44.20%,13.20%,1.50%
-,-,-,-,-,-0.01,-,-,-,-,4.00%
-,-,-,-,-,-,4.42%,-,-,-,-
,,,,,,,,,,
5.40,24.92,-,-,0.00,1.88,2.39%,22.20%,7.90%,-5.70%,91.50%
2.02,-,-,-,0.00,-2.59,-,-59.70%,-43.40%,-133.10%,0.20%
15.43,-,50.82,-,1.25,-0.83,-,-35.00%,-11.80%,1.40%,0.40%
,,,,,,,,,,
2.64,87.53,-,-,0.19,0.19,-,3.00%,1.80%,166.50%,4.70%
-,-,-,-,-,-,1.63%,-,-,-,-
,,,,,,,,,,
,,,,,,,,,,
3.10,-,-,-,0.00,-0.45,-,-48.50%,-65.50%,-59.60%,5.30%
2.00,-,-,-,0.00,-0.25,-,-,-,-,1.00%
-,-,-,-,-,-,1.98%,-,-,-,-
127.45,-,-,-,0.00,-1.23,-,-213.70%,-148.70%,45.50%,1.10%
3.56,-,-,-,0.00,-0.58,-,-110.70%,-104.50%,-13.60%,17.59%
2.51,27.39,8.80,0.90,1.98,1.11,4.46%,11.10%,5.20%,-,0.30%
2.72,90.49,15.86,3.62,0.34,0.62,-,3.20%,3.80%,-32.20%,0.60%
-,-,-,-,-,-4.68,-,279.40%,-,81.20%,4.40%
0.94,-,941.00,-,0.13,-0.95,-,-9.10%,-5.60%,-89.30%,3.10%
0.91,-,-,-,0.17,-1.59,-,-29.90%,-21.40%,-12.90%,-
10.00,-,-,-,0.00,-0.08,-,3.20%,-,-178.10%,83.22%
13.52,358.97,-,-,0.00,0.03,-,1.80%,-,-160.20%,-
8.23,15.52,11.55,1.03,0.91,1.25,2.28%,34.80%,34.70%,-9.30%,7.50%
2.87,-,-,-,0.22,-0.46,-,-13.80%,-10.90%,37.30%,4.60%
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1.95,13.01,13.20,9.53,0.47,3.48,1.24%,15.80%,11.40%,-32.20%,7.47%
0.82,-,-,-,0.57,-0.62,-,-43.80%,-31.30%,-85.10%,32.36%
1.13,7.91,-,-,0.09,3.43,3.68%,15.20%,11.80%,85.70%,2.40%
0.87,-,4.14,-,7.87,-1.56,15.53%,-13.00%,-,75.80%,0.60%
,,,,,,,,,,
0.68,-,-,-,0.00,-1.58,-,-48.30%,-,20.70%,0.40%
-,-,-,-,-,-5.49,-,169.30%,-,28.60%,3.42%
0.74,-,17.94,-,1.42,-1.54,-,-31.20%,-4.40%,-106.10%,2.80%
1.93,47.50,36.10,2.37,0.06,0.15,-,4.50%,-15.80%,171.20%,0.20%
10.79,-,-,-,0.00,-1.26,-,-9.20%,-12.20%,79.80%,1.40%
2.08,59.09,51.61,4.92,0.00,0.39,0.44%,3.60%,2.70%,-8.40%,17.90%
,,,,,,,,,,
-,-,-,-,-,-1.18,-,-,-,19.70%,0.70%
,,,,,,,,,,
,,,,,,,,,,
0.70,-,-,-,0.00,-0.08,-,-6.80%,-8.00%,-12.60%,1.40%
,,,,,,,,,,
-,-,-,-,-,-,1.36%,-,-,-,-
0.07,5.12,-,-,0.03,0.09,-,1.70%,0.70%,-92.30%,1.59%
,,,,,,,,,,
24.61,45.26,13.19,2.26,2.27,0.43,-,59.70%,14.30%,73.10%,1.30%
8.08,49.47,8.18,1.66,0.00,1.96,-,15.90%,11.10%,-21.90%,0.20%
1.04,8.88,9.77,-,0.12,1.92,3.29%,12.30%,33.20%,-1.40%,2.50%
2.85,43.08,-,-,0.01,0.25,-,3.60%,-,-98.10%,-
1.36,520.50,-,-,0.00,0.02,-,0.30%,-,135.30%,-
0.44,11.33,-,-,0.99,0.47,-,4.00%,3.60%,99.80%,6.60%
,,,,,,,,,,
3.68,-,-,-,0.00,-0.76,-,-143.10%,-,-175.50%,8.28%
5.92,-,-,-,0.00,-1.53,-,-42.20%,-46.80%,-23.60%,1.60%
0.77,-,-,-,0.00,-2.75,-,-50.50%,-,-18.30%,0.40%
,,,,,,,,,,
-,-,-,-,-,-,0.93%,-,-,-,-
-,-,-,-,-,-,0.95%,-,-,-,-
-,12.25,12.77,1.39,-,7.05,2.04%,-20.40%,18.50%,246.50%,1.40%
14.26,-,-,-,0.00,-0.73,-,-196.70%,-,-63.50%,1.50%
-,-,-,-,-,-,0.70%,-,-,-,-
0.42,-,-,-,0.11,-1.43,-,-28.70%,-38.90%,-517.00%,0.40%
-,22.29,22.36,3.54,-,0.68,-,-77.90%,21.60%,-7.50%,0.10%
,,,,,,,,,,
2.60,-,33.69,-,0.09,-0.21,-,-6.40%,-5.00%,-2.30%,0.10%
0.68,-,-,-,0.00,-2.40,-,-106.40%,-,17.90%,0.60%
